Date,Subs,Name,Total,Views,Views Total
2015-07-21,270,Sam and Nia,152953,160731,42089601
2015-07-22,237,Sam and Nia,153223,79328,42250332
2015-07-23,74,Sam and Nia,153460,80040,42329660
2015-07-24,793,Sam and Nia,153534,80902,42409700
2015-07-25,386,Sam and Nia,154327,84380,42490602
2015-07-26,487,Sam and Nia,154713,75346,42574982
2015-07-27,429,Sam and Nia,155200,0,42650328
2015-07-28,357,Sam and Nia,155629,0,42650328
2015-07-29,121,Sam and Nia,155986,177695,42650328
2015-07-30,596,Sam and Nia,156107,0,42828023
2015-07-31,251,Sam and Nia,156703,273872,42828023
2015-08-01,226,Sam and Nia,156954,89690,43101895
2015-08-02,401,Sam and Nia,157180,84002,43191585
2015-08-03,78,Sam and Nia,157581,0,43275587
2015-08-04,325,Sam and Nia,157659,0,43275587
2015-08-05,34630,Sam and Nia,157984,277693,43275587
2015-08-06,53080,Sam and Nia,192614,373097,43553280
2015-08-07,26413,Sam and Nia,245694,4069827,43926377
2015-08-08,15584,Sam and Nia,272107,4585573,47996204
2015-08-09,30563,Sam and Nia,287691,2528917,52581777
2015-08-10,15205,Sam and Nia,318254,2150815,55110694
2015-08-11,5762,Sam and Nia,333459,4881685,57261509
2015-08-12,3980,Sam and Nia,339221,1788029,62143194
2015-08-13,3740,Sam and Nia,343201,935720,63931223
2015-08-14,2891,Sam and Nia,346941,924915,64866943
2015-08-15,2558,Sam and Nia,349832,739989,65791858
2015-08-16,2292,Sam and Nia,352390,578199,66531847
2015-08-17,2391,Sam and Nia,354682,0,67110046
2015-08-18,1833,Sam and Nia,357073,1188331,67110046
2015-08-19,1235,Sam and Nia,358906,568592,68298377
2015-08-20,1354,Sam and Nia,360141,471214,68866969
2015-08-21,-487,Sam and Nia,361495,376080,69338183
2015-08-22,201,Sam and Nia,361008,688113,69714263
2015-08-23,690,Sam and Nia,361209,936786,70402376
2015-08-24,659,Sam and Nia,361899,0,71339162
2015-08-25,-164,Sam and Nia,362558,1181893,71339162
2015-08-26,1106,Sam and Nia,362394,594057,72521055
2015-08-27,593,Sam and Nia,363500,552677,73115112
2015-08-28,522,Sam and Nia,364093,360713,73667789
2015-08-29,655,Sam and Nia,364615,270128,74028502
2015-08-30,375,Sam and Nia,365270,264658,74298630
2015-08-31,-39,Sam and Nia,365645,233493,74563288
2015-09-01,653,Sam and Nia,365606,165434,74796781
2015-09-02,283,Sam and Nia,366259,211307,74962215
2015-09-03,262,Sam and Nia,366542,193048,75173522
2015-09-04,356,Sam and Nia,366804,185801,75366570
2015-09-05,323,Sam and Nia,367160,183338,75552371
2015-09-06,359,Sam and Nia,367483,198892,75735709
2015-09-07,704,Sam and Nia,367842,0,75934601
2015-09-08,530,Sam and Nia,368546,387254,75934601
2015-09-09,606,Sam and Nia,369076,152815,76321855
2015-09-10,261,Sam and Nia,369682,143310,76474670
2015-09-11,327,Sam and Nia,369943,142339,76617980
2015-09-12,328,Sam and Nia,370270,146600,76760319
2015-09-13,215,Sam and Nia,370598,220009,76906919
2015-09-14,226,Sam and Nia,370813,183316,77126928
2015-09-15,178,Sam and Nia,371039,131062,77310244
2015-09-16,169,Sam and Nia,371217,127884,77441306
2015-09-17,279,Sam and Nia,371386,116506,77569190
2015-09-18,193,Sam and Nia,371665,112328,77685696
2015-09-19,1328,Sam and Nia,371858,127878,77798024
2015-09-20,1135,Sam and Nia,373186,142344,77925902
2015-09-21,216,Sam and Nia,374321,288471,78068246
2015-12-09,2922,DramaAlert,674981,767958,82124382
2015-12-10,2126,DramaAlert,677903,677001,82892340
2015-12-11,4009,DramaAlert,680029,385065,83569341
2015-12-12,4280,DramaAlert,684038,474056,83954406
2015-12-13,3825,DramaAlert,688318,485719,84428462
2015-12-14,2278,DramaAlert,692143,0,84914181
2015-12-15,3906,DramaAlert,694421,367260,84914181
2015-12-16,4017,DramaAlert,698327,830302,85281441
2015-12-17,3844,DramaAlert,702344,592686,86111743
2015-12-18,3595,DramaAlert,706188,637822,86704429
2015-12-19,2977,DramaAlert,709783,339154,87342251
2015-12-20,10361,DramaAlert,712760,560180,87681405
2015-12-21,8952,DramaAlert,723121,0,88241585
2015-12-22,8789,DramaAlert,732073,1286017,88241585
2015-12-23,8832,DramaAlert,740862,483198,89527602
2015-12-24,5937,DramaAlert,749694,701787,90010800
2015-12-25,5490,DramaAlert,755631,768311,90712587
2015-12-26,4819,DramaAlert,761121,382910,91480898
2015-12-27,4888,DramaAlert,765940,635621,91863808
2015-12-28,5328,DramaAlert,770828,0,92499429
2015-12-29,5887,DramaAlert,776156,980155,92499429
2015-12-30,4281,DramaAlert,782043,694849,93479584
2015-12-31,6429,DramaAlert,786324,784236,94174433
2016-01-01,5433,DramaAlert,792753,695244,94958669
2016-01-02,6178,DramaAlert,798186,831650,95653913
2016-01-03,7890,DramaAlert,804364,795877,96485563
2016-01-04,5463,DramaAlert,812254,765615,97281440
2016-01-05,4636,DramaAlert,817717,742178,98047055
2016-01-06,3348,DramaAlert,822353,663620,98789233
2016-01-07,1913,DramaAlert,825701,605403,99452853
2016-01-08,-521,DramaAlert,827614,500104,100058256
2016-01-09,5860,DramaAlert,827093,266840,100558360
2016-01-10,4799,DramaAlert,832953,990602,100825200
2016-01-11,6659,DramaAlert,837752,0,101815802
2016-01-12,6333,DramaAlert,844411,1627589,101815802
2016-01-13,6245,DramaAlert,850744,835046,103443391
2016-01-14,5404,DramaAlert,856989,909124,104278437
2016-01-15,7554,DramaAlert,862393,873872,105187561
2016-01-16,6629,DramaAlert,869947,836956,106061433
2016-01-17,9326,DramaAlert,876576,0,106898389
2016-01-18,6056,DramaAlert,885902,2113743,106898389
