Date,Subs,Name,Total
2015-07-21,270,Sam and Nia,152953
2015-07-22,237,Sam and Nia,153223
2015-07-23,74,Sam and Nia,153460
2015-07-24,793,Sam and Nia,153534
2015-07-25,386,Sam and Nia,154327
2015-07-26,487,Sam and Nia,154713
2015-07-27,429,Sam and Nia,155200
2015-07-28,357,Sam and Nia,155629
2015-07-29,121,Sam and Nia,155986
2015-07-30,596,Sam and Nia,156107
2015-07-31,251,Sam and Nia,156703
2015-08-01,226,Sam and Nia,156954
2015-08-02,401,Sam and Nia,157180
2015-08-03,78,Sam and Nia,157581
2015-08-04,325,Sam and Nia,157659
2015-08-05,34630,Sam and Nia,157984
2015-08-06,53080,Sam and Nia,192614
2015-08-07,26413,Sam and Nia,245694
2015-08-08,15584,Sam and Nia,272107
2015-08-09,30563,Sam and Nia,287691
2015-08-10,15205,Sam and Nia,318254
2015-08-11,5762,Sam and Nia,333459
2015-08-12,3980,Sam and Nia,339221
2015-08-13,3740,Sam and Nia,343201
2015-08-14,2891,Sam and Nia,346941
2015-08-15,2558,Sam and Nia,349832
2015-08-16,2292,Sam and Nia,352390
2015-08-17,2391,Sam and Nia,354682
2015-08-18,1833,Sam and Nia,357073
2015-08-19,1235,Sam and Nia,358906
2015-08-20,1354,Sam and Nia,360141
2015-08-21,-487,Sam and Nia,361495
2015-08-22,201,Sam and Nia,361008
2015-08-23,690,Sam and Nia,361209
2015-08-24,659,Sam and Nia,361899
2015-08-25,-164,Sam and Nia,362558
2015-08-26,1106,Sam and Nia,362394
2015-08-27,593,Sam and Nia,363500
2015-08-28,522,Sam and Nia,364093
2015-08-29,655,Sam and Nia,364615
2015-08-30,375,Sam and Nia,365270
2015-08-31,-39,Sam and Nia,365645
2015-09-01,653,Sam and Nia,365606
2015-09-02,283,Sam and Nia,366259
2015-09-03,262,Sam and Nia,366542
2015-09-04,356,Sam and Nia,366804
2015-09-05,323,Sam and Nia,367160
2015-09-06,359,Sam and Nia,367483
2015-09-07,704,Sam and Nia,367842
2015-09-08,530,Sam and Nia,368546
2015-09-09,606,Sam and Nia,369076
2015-09-10,261,Sam and Nia,369682
2015-09-11,327,Sam and Nia,369943
2015-09-12,328,Sam and Nia,370270
2015-09-13,215,Sam and Nia,370598
2015-09-14,226,Sam and Nia,370813
2015-09-15,178,Sam and Nia,371039
2015-09-16,169,Sam and Nia,371217
2015-09-17,279,Sam and Nia,371386
2015-09-18,193,Sam and Nia,371665
2015-09-19,1328,Sam and Nia,371858
2015-09-20,1135,Sam and Nia,373186
2015-09-21,216,Sam and Nia,374321
2015-12-09,2922,DramaAlert,674981
2015-12-10,2126,DramaAlert,677903
2015-12-11,4009,DramaAlert,680029
2015-12-12,4280,DramaAlert,684038
2015-12-13,3825,DramaAlert,688318
2015-12-14,2278,DramaAlert,692143
2015-12-15,3906,DramaAlert,694421
2015-12-16,4017,DramaAlert,698327
2015-12-17,3844,DramaAlert,702344
2015-12-18,3595,DramaAlert,706188
2015-12-19,2977,DramaAlert,709783
2015-12-20,10361,DramaAlert,712760
2015-12-21,8952,DramaAlert,723121
2015-12-22,8789,DramaAlert,732073
2015-12-23,8832,DramaAlert,740862
2015-12-24,5937,DramaAlert,749694
2015-12-25,5490,DramaAlert,755631
2015-12-26,4819,DramaAlert,761121
2015-12-27,4888,DramaAlert,765940
2015-12-28,5328,DramaAlert,770828
2015-12-29,5887,DramaAlert,776156
2015-12-30,4281,DramaAlert,782043
2015-12-31,6429,DramaAlert,786324
2016-01-01,5433,DramaAlert,792753
2016-01-02,6178,DramaAlert,798186
2016-01-03,7890,DramaAlert,804364
2016-01-04,5463,DramaAlert,812254
2016-01-05,4636,DramaAlert,817717
2016-01-06,3348,DramaAlert,822353
2016-01-07,1913,DramaAlert,825701
2016-01-08,-521,DramaAlert,827614
2016-01-09,5860,DramaAlert,827093
2016-01-10,4799,DramaAlert,832953
2016-01-11,6659,DramaAlert,837752
2016-01-12,6333,DramaAlert,844411
2016-01-13,6245,DramaAlert,850744
2016-01-14,5404,DramaAlert,856989
2016-01-15,7554,DramaAlert,862393
2016-01-16,6629,DramaAlert,869947
2016-01-17,9326,DramaAlert,876576
2016-01-18,6056,DramaAlert,885902
2016-01-19,7181,DramaAlert,891958
2016-01-20,4277,DramaAlert,899139
2016-01-21,4461,DramaAlert,903416
2016-01-22,4918,DramaAlert,907877
2016-01-23,3148,DramaAlert,912795
2016-01-24,3553,DramaAlert,915943
2016-01-25,3376,DramaAlert,919496
2016-01-26,2657,DramaAlert,922872
2016-01-27,3471,DramaAlert,925529
2016-01-28,2217,DramaAlert,929000
2016-01-29,3224,DramaAlert,931217
2016-01-30,8077,DramaAlert,934441
2016-01-31,7054,DramaAlert,942518
2016-02-01,4799,DramaAlert,949572
2016-02-02,4135,DramaAlert,954371
2016-02-03,3848,DramaAlert,958506
2016-02-04,3446,DramaAlert,962354
2016-02-05,3867,DramaAlert,965800
