Date,Subs,Name
2015-07-21,270,Sam and Nia
2015-07-22,237,Sam and Nia
2015-07-23,74,Sam and Nia
2015-07-24,793,Sam and Nia
2015-07-25,386,Sam and Nia
2015-07-26,487,Sam and Nia
2015-07-27,429,Sam and Nia
2015-07-28,357,Sam and Nia
2015-07-29,121,Sam and Nia
2015-07-30,596,Sam and Nia
2015-07-31,251,Sam and Nia
2015-08-01,226,Sam and Nia
2015-08-02,401,Sam and Nia
2015-08-03,78,Sam and Nia
2015-08-04,325,Sam and Nia
2015-08-05,34630,Sam and Nia
2015-08-06,53080,Sam and Nia
2015-08-07,26413,Sam and Nia
2015-08-08,15584,Sam and Nia
2015-08-09,30563,Sam and Nia
2015-08-10,15205,Sam and Nia
2015-08-11,5762,Sam and Nia
2015-08-12,3980,Sam and Nia
2015-08-13,3740,Sam and Nia
2015-08-14,2891,Sam and Nia
2015-08-15,2558,Sam and Nia
2015-08-16,2292,Sam and Nia
2015-08-17,2391,Sam and Nia
2015-08-18,1833,Sam and Nia
2015-08-19,1235,Sam and Nia
2015-08-20,1354,Sam and Nia
2015-08-21,-487,Sam and Nia
2015-08-22,201,Sam and Nia
2015-08-23,690,Sam and Nia
2015-08-24,659,Sam and Nia
2015-08-25,-164,Sam and Nia
2015-08-26,1106,Sam and Nia
2015-08-27,593,Sam and Nia
2015-08-28,522,Sam and Nia
2015-08-29,655,Sam and Nia
2015-08-30,375,Sam and Nia
2015-08-31,-39,Sam and Nia
2015-09-01,653,Sam and Nia
2015-09-02,283,Sam and Nia
2015-09-03,262,Sam and Nia
2015-09-04,356,Sam and Nia
2015-09-05,323,Sam and Nia
2015-09-06,359,Sam and Nia
2015-09-07,704,Sam and Nia
2015-09-08,530,Sam and Nia
2015-09-09,606,Sam and Nia
2015-09-10,261,Sam and Nia
2015-09-11,327,Sam and Nia
2015-09-12,328,Sam and Nia
2015-09-13,215,Sam and Nia
2015-09-14,226,Sam and Nia
2015-09-15,178,Sam and Nia
2015-09-16,169,Sam and Nia
2015-09-17,279,Sam and Nia
2015-09-18,193,Sam and Nia
2015-09-19,1328,Sam and Nia
2015-09-20,1135,Sam and Nia
2015-09-21,216,Sam and Nia
2015-12-09,2922,DramaAlert
2015-12-10,2126,DramaAlert
2015-12-11,4009,DramaAlert
2015-12-12,4280,DramaAlert
2015-12-13,3825,DramaAlert
2015-12-14,2278,DramaAlert
2015-12-15,3906,DramaAlert
2015-12-16,4017,DramaAlert
2015-12-17,3844,DramaAlert
2015-12-18,3595,DramaAlert
2015-12-19,2977,DramaAlert
2015-12-20,10361,DramaAlert
2015-12-21,8952,DramaAlert
2015-12-22,8789,DramaAlert
2015-12-23,8832,DramaAlert
2015-12-24,5937,DramaAlert
2015-12-25,5490,DramaAlert
2015-12-26,4819,DramaAlert
2015-12-27,4888,DramaAlert
2015-12-28,5328,DramaAlert
2015-12-29,5887,DramaAlert
2015-12-30,4281,DramaAlert
2015-12-31,6429,DramaAlert
2016-01-01,5433,DramaAlert
2016-01-02,6178,DramaAlert
2016-01-03,7890,DramaAlert
2016-01-04,5463,DramaAlert
2016-01-05,4636,DramaAlert
2016-01-06,3348,DramaAlert
2016-01-07,1913,DramaAlert
2016-01-08,-521,DramaAlert
2016-01-09,5860,DramaAlert
2016-01-10,4799,DramaAlert
2016-01-11,6659,DramaAlert
