Date,Subs,Name
2015-07-21,160731,Sam and Nia
2015-07-22,79328,Sam and Nia
2015-07-23,80040,Sam and Nia
2015-07-24,80902,Sam and Nia
2015-07-25,84380,Sam and Nia
2015-07-26,75346,Sam and Nia
2015-07-27,0,Sam and Nia
2015-07-28,0,Sam and Nia
2015-07-29,177695,Sam and Nia
2015-07-30,0,Sam and Nia
2015-07-31,273872,Sam and Nia
2015-08-01,89690,Sam and Nia
2015-08-02,84002,Sam and Nia
2015-08-03,0,Sam and Nia
2015-08-04,0,Sam and Nia
2015-08-05,277693,Sam and Nia
2015-08-06,373097,Sam and Nia
2015-08-07,4069827,Sam and Nia
2015-08-08,4585573,Sam and Nia
2015-08-09,2528917,Sam and Nia
2015-08-10,2150815,Sam and Nia
2015-08-11,4881685,Sam and Nia
2015-08-12,1788029,Sam and Nia
2015-08-13,935720,Sam and Nia
2015-08-14,924915,Sam and Nia
2015-08-15,739989,Sam and Nia
2015-08-16,578199,Sam and Nia
2015-08-17,0,Sam and Nia
2015-08-18,1188331,Sam and Nia
2015-08-19,568592,Sam and Nia
2015-08-20,471214,Sam and Nia
2015-08-21,376080,Sam and Nia
2015-08-22,688113,Sam and Nia
2015-08-23,936786,Sam and Nia
2015-08-24,0,Sam and Nia
2015-08-25,1181893,Sam and Nia
2015-08-26,594057,Sam and Nia
2015-08-27,552677,Sam and Nia
2015-08-28,360713,Sam and Nia
2015-08-29,270128,Sam and Nia
2015-08-30,264658,Sam and Nia
2015-08-31,233493,Sam and Nia
2015-09-01,165434,Sam and Nia
2015-09-02,211307,Sam and Nia
2015-09-03,193048,Sam and Nia
2015-09-04,185801,Sam and Nia
2015-09-05,183338,Sam and Nia
2015-09-06,198892,Sam and Nia
2015-09-07,0,Sam and Nia
2015-09-08,387254,Sam and Nia
2015-09-09,152815,Sam and Nia
2015-09-10,143310,Sam and Nia
2015-09-11,142339,Sam and Nia
2015-09-12,146600,Sam and Nia
2015-09-13,220009,Sam and Nia
2015-09-14,183316,Sam and Nia
2015-09-15,131062,Sam and Nia
2015-09-16,127884,Sam and Nia
2015-09-17,116506,Sam and Nia
2015-09-18,112328,Sam and Nia
2015-09-19,127878,Sam and Nia
2015-09-20,142344,Sam and Nia
2015-09-21,288471,Sam and Nia
2015-12-09,767958,DramaAlert
2015-12-10,677001,DramaAlert
2015-12-11,385065,DramaAlert
2015-12-12,474056,DramaAlert
2015-12-13,485719,DramaAlert
2015-12-14,0,DramaAlert
2015-12-15,367260,DramaAlert
2015-12-16,830302,DramaAlert
2015-12-17,592686,DramaAlert
2015-12-18,637822,DramaAlert
2015-12-19,339154,DramaAlert
2015-12-20,560180,DramaAlert
2015-12-21,0,DramaAlert
2015-12-22,1286017,DramaAlert
2015-12-23,483198,DramaAlert
2015-12-24,701787,DramaAlert
2015-12-25,768311,DramaAlert
