Date,Subs,Name
2015-07-21,42089601,Sam and Nia
2015-07-22,42250332,Sam and Nia
2015-07-23,42329660,Sam and Nia
2015-07-24,42409700,Sam and Nia
2015-07-25,42490602,Sam and Nia
2015-07-26,42574982,Sam and Nia
2015-07-27,42650328,Sam and Nia
2015-07-28,42650328,Sam and Nia
2015-07-29,42650328,Sam and Nia
2015-07-30,42828023,Sam and Nia
2015-07-31,42828023,Sam and Nia
2015-08-01,43101895,Sam and Nia
2015-08-02,43191585,Sam and Nia
2015-08-03,43275587,Sam and Nia
2015-08-04,43275587,Sam and Nia
2015-08-05,43275587,Sam and Nia
2015-08-06,43553280,Sam and Nia
2015-08-07,43926377,Sam and Nia
2015-08-08,47996204,Sam and Nia
2015-08-09,52581777,Sam and Nia
2015-08-10,55110694,Sam and Nia
2015-08-11,57261509,Sam and Nia
2015-08-12,62143194,Sam and Nia
2015-08-13,63931223,Sam and Nia
2015-08-14,64866943,Sam and Nia
2015-08-15,65791858,Sam and Nia
2015-08-16,66531847,Sam and Nia
2015-08-17,67110046,Sam and Nia
2015-08-18,67110046,Sam and Nia
2015-08-19,68298377,Sam and Nia
2015-08-20,68866969,Sam and Nia
2015-08-21,69338183,Sam and Nia
2015-08-22,69714263,Sam and Nia
2015-08-23,70402376,Sam and Nia
2015-08-24,71339162,Sam and Nia
2015-08-25,71339162,Sam and Nia
2015-08-26,72521055,Sam and Nia
2015-08-27,73115112,Sam and Nia
2015-08-28,73667789,Sam and Nia
2015-08-29,74028502,Sam and Nia
2015-08-30,74298630,Sam and Nia
2015-08-31,74563288,Sam and Nia
2015-09-01,74796781,Sam and Nia
2015-09-02,74962215,Sam and Nia
2015-09-03,75173522,Sam and Nia
2015-09-04,75366570,Sam and Nia
2015-09-05,75552371,Sam and Nia
2015-09-06,75735709,Sam and Nia
2015-09-07,75934601,Sam and Nia
2015-09-08,75934601,Sam and Nia
2015-09-09,76321855,Sam and Nia
2015-09-10,76474670,Sam and Nia
2015-09-11,76617980,Sam and Nia
2015-09-12,76760319,Sam and Nia
2015-09-13,76906919,Sam and Nia
2015-09-14,77126928,Sam and Nia
2015-09-15,77310244,Sam and Nia
2015-09-16,77441306,Sam and Nia
2015-09-17,77569190,Sam and Nia
2015-09-18,77685696,Sam and Nia
2015-09-19,77798024,Sam and Nia
2015-09-20,77925902,Sam and Nia
2015-09-21,78068246,Sam and Nia
2015-12-09,82124382,DramaAlert
2015-12-10,82892340,DramaAlert
2015-12-11,83569341,DramaAlert
2015-12-12,83954406,DramaAlert
2015-12-13,84428462,DramaAlert
2015-12-14,84914181,DramaAlert
2015-12-15,84914181,DramaAlert
2015-12-16,85281441,DramaAlert
2015-12-17,86111743,DramaAlert
2015-12-18,86704429,DramaAlert
2015-12-19,87342251,DramaAlert
2015-12-20,87681405,DramaAlert
2015-12-21,88241585,DramaAlert
2015-12-22,88241585,DramaAlert
2015-12-23,89527602,DramaAlert
2015-12-24,90010800,DramaAlert
2015-12-25,90712587,DramaAlert
2015-12-26,91480898,DramaAlert
2015-12-27,91863808,DramaAlert
2015-12-28,92499429,DramaAlert
2015-12-29,92499429,DramaAlert
2015-12-30,93479584,DramaAlert
2015-12-31,94174433,DramaAlert
2016-01-01,94958669,DramaAlert
2016-01-02,95653913,DramaAlert
2016-01-03,96485563,DramaAlert
2016-01-04,97281440,DramaAlert
2016-01-05,98047055,DramaAlert
2016-01-06,98789233,DramaAlert
2016-01-07,99452853,DramaAlert
2016-01-08,100058256,DramaAlert
2016-01-09,100558360,DramaAlert
2016-01-10,100825200,DramaAlert
2016-01-11,101815802,DramaAlert
2016-01-12,101815802,DramaAlert
2016-01-13,103443391,DramaAlert
2016-01-14,104278437,DramaAlert
2016-01-15,105187561,DramaAlert
2016-01-16,106061433,DramaAlert
2016-01-17,106898389,DramaAlert
2016-01-18,106898389,DramaAlert
2016-01-19,109012132,DramaAlert
2016-01-20,109970661,DramaAlert
2016-01-21,110747982,DramaAlert
2016-01-22,111407827,DramaAlert
2016-01-23,112100529,DramaAlert
2016-01-24,112762571,DramaAlert
2016-01-25,113284792,DramaAlert
2016-01-26,113280765,DramaAlert
2016-01-27,113887686,DramaAlert
2016-01-28,114309834,DramaAlert
2016-01-29,114685034,DramaAlert
2016-01-30,114957586,DramaAlert
2016-01-31,115379947,DramaAlert
2016-02-01,116062434,DramaAlert
2016-02-02,116062434,DramaAlert
2016-02-03,116551737,DramaAlert
2016-02-04,117307027,DramaAlert
2016-02-05,117807280,DramaAlert
2016-02-06,118293728,DramaAlert
2016-02-07,118895408,DramaAlert
2016-02-08,119554256,DramaAlert
2016-02-09,119554256,DramaAlert
2015-12-31,3703295563,The Fine Bros
2016-01-01,3707555387,The Fine Bros
2016-01-02,3712000368,The Fine Bros
2016-01-03,3717287282,The Fine Bros
2016-01-04,3722405686,The Fine Bros
2016-01-05,3727455189,The Fine Bros
2016-01-06,3731762599,The Fine Bros
2016-01-07,3735529376,The Fine Bros
2016-01-08,3738848452,The Fine Bros
2016-01-09,3742781910,The Fine Bros
2016-01-10,3746569718,The Fine Bros
2016-01-11,3750656514,The Fine Bros
2016-01-12,3750656514,The Fine Bros
2016-01-13,3759153443,The Fine Bros
2016-01-14,3762200944,The Fine Bros
2016-01-15,3765030700,The Fine Bros
2016-01-16,3769076414,The Fine Bros
2016-01-17,3772969802,The Fine Bros
2016-01-18,3777185379,The Fine Bros
2016-01-19,3782245814,The Fine Bros
2016-01-20,3786604802,The Fine Bros
2016-01-21,3789876142,The Fine Bros
2016-01-22,3792905327,The Fine Bros
2016-01-23,3796485237,The Fine Bros
2016-01-24,3800077604,The Fine Bros
2016-01-25,3804202974,The Fine Bros
2016-01-26,3804187486,The Fine Bros
2016-01-27,3812949842,The Fine Bros
2016-01-28,3816603017,The Fine Bros
2016-01-29,3819963571,The Fine Bros
2016-01-30,3823873329,The Fine Bros
2016-01-31,3827567991,The Fine Bros
2016-02-01,3831696874,The Fine Bros
2016-02-02,3831696874,The Fine Bros
2016-02-03,3840295212,The Fine Bros
2016-02-04,3829370686,The Fine Bros
2016-02-05,3832722481,The Fine Bros
2016-02-06,3836558877,The Fine Bros
2016-02-07,3840069076,The Fine Bros
2016-02-08,3840069076,The Fine Bros
2016-02-09,3843656499,The Fine Bros
2016-02-10,3850213369,The Fine Bros
2016-02-11,3852722685,The Fine Bros
2016-02-12,3853799996,The Fine Bros
2016-02-13,3857941115,The Fine Bros
2016-02-14,3860914475,The Fine Bros
2016-02-15,3863890828,The Fine Bros
2016-02-16,3863890828,The Fine Bros
2016-02-17,3871051361,The Fine Bros
